id;frage;antwort;gelesen
1;musik_frage_1;musik_antwort_1;0
2;musik_frage_2;musik_antwort_2;0
3;musik_frage_3;musik_antwort_3;0
4;musik_frage_4;musik_antwort_4;0
5;musik_frage_5;musik_antwort_5;0
6;musik_frage_6;musik_antwort_6;0
7;musik_frage_7;musik_antwort_7;0
8;musik_frage_8;musik_antwort_8;0
9;musik_frage_9;musik_antwort_9;0
10;musik_frage_10;musik_antwort_10;0
11;musik_frage_11;musik_antwort_11;0
12;musik_frage_12;musik_antwort_12;0
13;musik_frage_13;musik_antwort_13;0
14;musik_frage_14;musik_antwort_14;0
15;musik_frage_15;musik_antwort_15;0
16;musik_frage_16;musik_antwort_16;0
17;musik_frage_17;musik_antwort_17;0
18;musik_frage_18;musik_antwort_18;0
19;musik_frage_19;musik_antwort_19;0
20;musik_frage_20;musik_antwort_20;0
21;musik_frage_21;musik_antwort_21;0
22;musik_frage_22;musik_antwort_22;0
23;musik_frage_23;musik_antwort_23;0
24;musik_frage_24;musik_antwort_24;0
25;musik_frage_25;musik_antwort_25;0
26;musik_frage_26;musik_antwort_26;0
27;musik_frage_27;musik_antwort_27;0
